href,title,id,Job Title,payment,job_description
/ru/jobs/3352735/,Кладовщик-комплектовщик,3352735,Кладовщик-комплектовщик,12 000 – 30 000 грн,"Интернет магазину makeup.ua косметика парфюмерия, на склад в Бровары, требуются кладовщики-комплектовщики."
href,title,id,Job Title,payment,job_description
/ru/jobs/3250490/,Упаковщик на склад,3250490,Упаковщик на склад,11 000 – 14 000 грн,"Интернет магазину makeup.ua косметики и парфюмерии, на склад в Бровары, требуются упаковщики товаров."
href,title,id,Job Title,payment,job_description
/ru/jobs/4412026/,Кладовщик-комплектовщик в Бровары,4412026,Кладовщик-комплектовщик в Бровары,12 000 – 30 000 грн,"Интернет магазину makeup.ua косметика парфюмерия, на склад в Бровары, требуются кладовщики-комплектовщики в ночную смену."
href,title,id,Job Title,payment,job_description
/ru/jobs/3355425/,Кладовщик-комплектовщик (ночная смена),3355425,Кладовщик-комплектовщик (ночная смена),12 000 – 30 000 грн,"Интернет магазину makeup.ua косметика парфюмерия, на склад в Бровары, требуются кладовщики-комплектовщики в ночную смену."
href,title,id,Job Title,payment,job_description
/ru/jobs/4368070/,After Effects Animator,4368070,After Effects Animator,Payment is not specified,We are looking for talented and experienced motion designers passionate about gaming art to produce creative ads for different platforms. 
href,title,id,Job Title,payment,job_description
/ru/jobs/4430866/,Менеджер по продажам,4430866,Менеджер по продажам,Payment is not specified,"Мы — Laba Group, лидеры рынка онлайн-образования. "
href,title,id,Job Title,payment,job_description
/ru/jobs/2888460/,"Менеджер по продажам недвижимости (ст. м. Университет, Botanic Towers)",2888460,"Менеджер по продажам недвижимости (ст. м. Университет, Botanic Towers)",30 000 – 50 000 грн,Здесь не будет мыльного и сладкого описания вакансии. В отделе продаж нашей компании все сводится к результатам и цифрам в виде заработанных денег.
href,title,id,Job Title,payment,job_description
/ru/jobs/3777566/,Водитель такси на автомобиль фирмы (Uber),3777566,Водитель такси на автомобиль фирмы (Uber),18 000 – 25 000 грн,Требования:  
href,title,id,Job Title,payment,job_description
/ru/jobs/4459370/,"Раннер, официант на фуд-корт, помощник официанта",4459370,"Раннер, официант на фуд-корт, помощник официанта",12 000 – 16 000 грн,"По вопросам трудоустройства звоните: 
Показати телефон, Виктория"
href,title,id,Job Title,payment,job_description
/ru/jobs/3254114/,Администратор в брачное агентство,3254114,Администратор в брачное агентство,42 000 грн,Мы крупное брачное агентство «Сеlebrity» и являемся ЛИДЕРАМИ рынка уже9лет. На сегодняшний день у нас 98% довольных клиентов. Мы активно растём и развиваемся именно поэтому за 9 лет мы выросли из 10 сотрудников до 151 сотрудников и на этом не останавливаемся.
href,title,id,Job Title,payment,job_description
/ru/jobs/4559648/,Інженер технічної підтримки,4559648,Інженер технічної підтримки,Payment is not specified,"Лідер на українському ринку товарів для спорту та активного відпочинку, мережа спортивних супермаркетів «SPORTMASTER», оголошує про вакантну посаду Інженера технічний підтримки і запрошує Вас стати частиною нашої команди."
href,title,id,Job Title,payment,job_description
/ru/jobs/4559637/,Менеджер по сопровождению клиентов из США и Европы (англ. яз. ),4559637,Менеджер по сопровождению клиентов из США и Европы (англ. яз. ),8 000 – 17 000 грн,"Мы — компания со своей сетью интернет-магазинов на территории США и Европы. Занимаемся производством своей линейки товаров в категории товаров для дома и спорта. Продаем товары через свою сеть интернет-магазинов, а также через всемирно известные маркетплейсы — Amazon.com, Walmart.com"
href,title,id,Job Title,payment,job_description
